keypoints_count,keypoints_response_mean,keypoints_response_std,keypoints_response_max,lbp_mean,lbp_std,lbp_uniformity,lbp_entropy,glcm_contrast,glcm_dissimilarity,glcm_homogeneity,glcm_energy,glcm_correlation,hu_moment_1,hu_moment_2,hu_moment_3,hu_moment_4,hu_moment_5,hu_moment_6,hu_moment_7,canny_edge_density,canny_edge_mean,canny_edge_std,sobel_mean,sobel_std,sobel_max,laplacian_var,laplacian_mean,intensity_mean,intensity_std,intensity_skewness,intensity_kurtosis,hist_entropy,bone_area_ratio,num_components,hough_lines_count,sift_keypoints_count,sift_descriptor_mean,sift_descriptor_std,sift_descriptor_max,sift_descriptor_min,sift_response_mean,sift_response_std,sift_response_max,sift_x_mean,sift_y_mean,sift_x_std,sift_y_std,surf_keypoints_count,surf_descriptor_mean,surf_descriptor_std,hog_mean,hog_std,hog_max,hog_min,hog_median,hog_entropy,hog_vector_length,bovw_bin_0,bovw_bin_1,bovw_bin_2,bovw_bin_3,bovw_bin_4,bovw_bin_5,bovw_bin_6,bovw_bin_7,bovw_bin_8,bovw_bin_9,bovw_bin_10,bovw_bin_11,bovw_bin_12,bovw_bin_13,bovw_bin_14,bovw_bin_15,bovw_bin_16,bovw_bin_17,bovw_bin_18,bovw_bin_19,bovw_bin_20,bovw_bin_21,bovw_bin_22,bovw_bin_23,bovw_bin_24,bovw_bin_25,bovw_bin_26,bovw_bin_27,bovw_bin_28,bovw_bin_29,bovw_bin_30,bovw_bin_31,bovw_bin_32,bovw_bin_33,bovw_bin_34,bovw_bin_35,bovw_bin_36,bovw_bin_37,bovw_bin_38,bovw_bin_39,bovw_bin_40,bovw_bin_41,bovw_bin_42,bovw_bin_43,bovw_bin_44,bovw_bin_45,bovw_bin_46,bovw_bin_47,bovw_bin_48,bovw_bin_49,bovw_entropy,centroid_x,centroid_y,mu20,mu02,mu11,orientation,registration_matches,registration_match_ratio,registration_avg_distance,label,image_path
229,36.16593886462882,34.5509998542844,199.0,7.470762914540816,1.5816247261808047,0.7238193608850545,1.055359271538981,159.27774178909013,2.3530843870208744,0.8690514147481547,0.827149454718521,0.9407557986546329,2.606629108490246,5.5485792259042075,6.993607831485685,6.989752082412354,6.999999999980729,6.999983539532639,-6.999999999996943,0.02947624362244898,7.51644212372449,43.12998770403772,20.818480719237268,83.86080506700746,803.2745483332582,716.7784598214286,5.511519451530612,12.35514987244898,36.570497563438856,3.17611557389503,11.93067634235012,1.249186449332125,0.07882254464285714,4,19,48,24.45345115661621,38.088375091552734,199.0,0.0,0.04257003058834622,0.023742879754782165,0.09094753116369247,134.00922520955405,105.66539804140727,18.411207212181928,43.62222087075936,0,0,0,0.026298849563623706,0.08392539463214652,0.9999999987499999,0.0,0.0,0.5782205779343222,26244,0.020833333289930554,0.020833333289930554,0.0,0.0,0.0,0.0,0.04166666657986111,0.0,0.020833333289930554,0.06249999986979166,0.04166666657986111,0.04166666657986111,0.04166666657986111,0.10416666644965278,0.0,0.0,0.06249999986979166,0.0,0.0,0.0,0.0,0.020833333289930554,0.04166666657986111,0.020833333289930554,0.0,0.020833333289930554,0.020833333289930554,0.0,0.06249999986979166,0.020833333289930554,0.0,0.04166666657986111,0.04166666657986111,0.0,0.020833333289930554,0.0,0.0,0.020833333289930554,0.020833333289930554,0.0,0.020833333289930554,0.0,0.06249999986979166,0.0,0.020833333289930554,0.04166666657986111,0.0,0.04166666657986111,0.0,0.0,4.571850463867665,136.8342173012524,122.03033397211307,0.0005449562696193921,0.0019287796523185766,0.00045073581036154074,1.2821044923322389,0,0,0,0,D:/web-projects/bone_fracture_densenet/data/archive/bone fracture detection.v4-v4.yolov8/train/images\image1_773_png.rf.57de4c6ab164ebbdcd49f444b58cc513.jpg
81,71.79012345679013,87.12283311854615,236.0,6.071647799744898,2.216460203536969,0.22626820984813356,2.608305018825052,107.03277785687976,2.389058900131642,0.6214340911976032,0.15605733623599954,0.9203016372453443,2.443641922877624,6.229803943366517,6.996658803002586,6.9997372627172245,-6.999999999999947,-6.9999998439600075,6.9999999999999805,0.02939652423469388,7.496113679846939,43.07339396959312,22.33233367976947,71.70443334360274,999.1406307422394,413.1049402976522,5.125199298469388,37.793726084183675,25.978581564724067,2.8912700437669936,23.824916375027396,2.89012654117425,0.5061782525510204,17,12,37,24.807220458984375,37.839324951171875,210.0,0.0,0.07779619276422907,0.042119838578730515,0.1301502287387848,183.86897319072003,130.52269192644067,43.213871556311744,51.1923368169604,0,0,0,0.09696743102836274,0.13428387675619882,0.9999999987499999,0.0,0.031469408740238874,1.5542257087361868,26244,0.0,0.0,0.027027026953981008,0.027027026953981008,0.08108108086194302,0.027027026953981008,0.13513513476990505,0.0,0.027027026953981008,0.0,0.0,0.0,0.054054053907962016,0.0,0.0,0.0,0.0,0.027027026953981008,0.0,0.0,0.0,0.0,0.08108108086194302,0.08108108086194302,0.0,0.027027026953981008,0.0,0.0,0.0,0.0,0.0,0.027027026953981008,0.054054053907962016,0.0,0.054054053907962016,0.027027026953981008,0.027027026953981008,0.027027026953981008,0.0,0.0,0.0,0.0,0.027027026953981008,0.0,0.027027026953981008,0.027027026953981008,0.0,0.054054053907962016,0.027027026953981008,0.027027026953981008,4.293928337541946,113.30807060766594,111.78272280574454,0.00145944346629061,0.002140917252619997,7.858597167060114e-05,1.4574604617033733,0,0,0,0,D:/web-projects/bone_fracture_densenet/data/archive/bone fracture detection.v4-v4.yolov8/train/images\image1_163_png.rf.654ba842b87aaece213c0dc81827c3e9.jpg
81,22.876543209876544,21.029892138554683,119.0,6.548449457908164,2.1864712384476994,0.33751574480016766,2.2577424539465176,44.29376546776554,1.7645652382341357,0.7169264856981483,0.3080405105276119,0.9880023027864258,2.571094013657426,5.660795007163404,6.9929393969364675,6.999655834727013,-6.999999999999935,6.999999531648779,6.999999999999894,0.047931281887755105,12.22247688137755,54.473320659158155,18.431001817951877,47.90619426974057,535.3148606194302,210.1502883856319,4.552953603316326,45.559151785714285,42.96370365485578,0.5701507998880574,1.914192135387423,3.054576605087737,0.3032126913265306,3,88,33,20.572206497192383,40.306236267089844,212.0,0.0,0.028982575107930286,0.00980823569957771,0.050995029509067535,89.1518956675674,55.329661427122176,68.34444010997727,42.03233485201633,0,0,0,0.07572521780027389,0.13029061412433368,0.9999999987499999,0.0,0.005993737997464646,1.280931462776937,26244,0.0,0.2424242416896235,0.0,0.0,0.09090909063360882,0.0,0.06060606042240588,0.0,0.0,0.03030303021120294,0.06060606042240588,0.06060606042240588,0.03030303021120294,0.0,0.06060606042240588,0.0,0.03030303021120294,0.03030303021120294,0.0,0.0,0.0,0.0,0.0,0.03030303021120294,0.0,0.06060606042240588,0.0,0.0,0.0,0.0,0.0,0.03030303021120294,0.0,0.0,0.0,0.03030303021120294,0.0,0.03030303021120294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03030303021120294,0.0,0.06060606042240588,0.03030303021120294,0.0,3.809394924364107,121.78807301563971,93.90607075489856,0.0013380086088494642,0.001346654591272183,0.0007217488621219301,0.788392930513151,0,0,0,1,D:/web-projects/bone_fracture_densenet/data/archive/bone fracture detection.v4-v4.yolov8/train/images\image2_324_png.rf.457c369e07b4c87cdeeaf14228bcd1f1.jpg
72,20.97222222222222,12.320908406063948,52.0,6.449996014030612,2.0348748073258007,0.31086104097762757,2.2586449225946374,56.973649950590705,1.6011463381528308,0.744290351708108,0.1462439970268523,0.9708617273047392,2.7854168718566954,6.987276482415365,6.999899233483408,6.99999347179527,-7.0,6.99999999967004,-7.0,0.01233657525510204,3.1458266900510203,28.147638984454325,15.738091186219688,52.147137653049285,553.1889369826552,220.96712401706637,3.6449497767857144,85.57914142219387,31.55431222394349,-1.5358781781936766,5.047920320995139,2.7391690065006316,0.9085419323979592,1,8,17,25.61121368408203,37.34895706176758,204.0,0.0,0.021101650398443726,0.0036426060324117222,0.028615741059184074,167.2108304079841,144.28158569335938,57.27705956469252,16.69998134231611,0,0,0,0.09327464686295467,0.13729163970801947,0.7071067807446058,0.0,0.017314083303528686,1.7958479152386788,26244,0.0,0.11764705813148789,0.0,0.058823529065743944,0.0,0.058823529065743944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411626297578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529065743944,0.058823529065743944,0.0,0.0,0.058823529065743944,0.0,0.0,0.0,0.0,0.058823529065743944,0.0,0.058823529065743944,0.058823529065743944,0.0,0.058823529065743944,0.058823529065743944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529065743944,3.4992256595333298,110.94203122995032,109.37647784045669,0.0007922923127137499,0.0008466234419366039,-2.300240984467203e-06,-1.5285596367725975,0,0,0,0,D:/web-projects/bone_fracture_densenet/data/archive/bone fracture detection.v4-v4.yolov8/train/images\image1_758_png.rf.dada875aa0d9078b66d1ac28ab650bf6.jpg
170,44.28235294117647,28.069288959625645,149.0,6.147022480867347,2.2665667692473446,0.217236983978791,2.677757143108207,182.077987962623,3.223124154345337,0.650222093078075,0.11225873186467208,0.9541139251809877,2.9086148626152433,6.930797025033322,6.999937821292822,6.999994540410789,7.0,-6.999999999414184,-7.0,0.04155373086734694,10.59620137117347,50.88960469635008,26.436866590506604,80.2390988689381,786.7871376681243,963.5429569484294,8.115911989795919,120.39983258928571,45.05455888629707,-1.5655243314111158,5.056628337779197,3.270153419631146,0.9038783482142857,1,20,40,22.078319549560547,39.51353073120117,201.0,0.0,0.030852014780975878,0.012338433411827285,0.059236906468868256,149.66570573449135,112.25808281898499,68.29608527481336,53.383989443158136,0,0,0,0.10533638387899888,0.12901131752993936,0.9999999987499999,0.0,0.045872321855399634,1.6322739775473472,26244,0.049999999875,0.1999999995,0.0249999999375,0.0,0.0249999999375,0.0,0.0,0.0,0.0249999999375,0.0,0.0249999999375,0.0,0.0,0.0,0.049999999875,0.0,0.0249999999375,0.0,0.0,0.0,0.09999999975,0.0,0.0,0.0,0.0249999999375,0.049999999875,0.0,0.049999999875,0.049999999875,0.0,0.0,0.0,0.049999999875,0.0249999999375,0.0249999999375,0.0,0.049999999875,0.0249999999375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049999999875,0.0,0.0,0.0749999998125,0.0,4.0030530155462465,112.07760054241041,110.87978710126595,0.0006061973184352489,0.0006279015314865374,6.481369657248068e-05,0.8683464286556642,0,0,0,0,D:/web-projects/bone_fracture_densenet/data/archive/bone fracture detection.v4-v4.yolov8/train/images\image1_481_png.rf.110fe2db25ade290fdc74b5c2533f6ed.jpg
366,20.259562841530055,19.427765996433333,124.0,5.816446109693878,2.7051931110038847,0.15346720773682593,3.0081138704221706,72.38641344570134,3.4995855438264263,0.49464647095442216,0.09915373096115326,0.9819228015231987,2.6710480185891914,6.701082396553656,6.99977087467716,6.998845691493498,-6.999999999999899,6.999999668480211,6.999999999999908,0.045220822704081634,11.531309789540817,52.98596881128578,26.0831836167267,49.2914475885554,511.8456798684541,332.87394854169446,7.857700892857143,68.28156887755102,44.642784820231135,0.9865087533913393,2.654639270383857,3.5857694059399186,0.27756297831632654,12,40,67,21.216768264770508,39.980926513671875,204.0,0.0,0.022502738829535334,0.006991671780357517,0.038801781833171844,117.22794740591476,156.73300138160363,37.87413752477935,67.4083517507227,0,0,0,0.1193863594335386,0.11629563598770402,0.7071067807446058,0.0,0.08440203412731313,2.2214686786129354,26244,0.0,0.14925373112051682,0.0,0.014925373112051683,0.0,0.014925373112051683,0.029850746224103365,0.0,0.0,0.014925373112051683,0.029850746224103365,0.0895522386723101,0.0,0.0,0.04477611933615505,0.0,0.0,0.0895522386723101,0.014925373112051683,0.0895522386723101,0.0,0.0,0.014925373112051683,0.014925373112051683,0.0,0.014925373112051683,0.0,0.04477611933615505,0.014925373112051683,0.04477611933615505,0.014925373112051683,0.014925373112051683,0.0,0.04477611933615505,0.0,0.0,0.029850746224103365,0.0,0.0,0.014925373112051683,0.014925373112051683,0.0,0.0,0.07462686556025841,0.014925373112051683,0.0,0.014925373112051683,0.0,0.029850746224103365,0.0,4.2992525081660276,114.85387683240633,124.29769714567252,0.0009197015701889512,0.0012130075118581389,5.701138920806146e-05,1.385410868333511,0,0,0,1,D:/web-projects/bone_fracture_densenet/data/archive/bone fracture detection.v4-v4.yolov8/train/images\image2_1302_png.rf.d90ed44201d3df7091911104a822ff6f.jpg
49,82.6938775510204,71.48689164316303,210.0,6.644551179846939,2.035222617888284,0.3489276777934346,2.1809269824386237,59.34758249085319,1.3402954055624914,0.7709315936393486,0.34694605469317435,0.8786875635571796,2.3146296148603174,6.516696180978739,6.996681933927883,6.993498611633872,-6.99999999999634,6.999997041234955,-6.999999999993981,0.010184151785714286,2.596958705357143,25.6023490201337,12.690755809981397,56.09728882851825,958.9212689267039,247.50189159056484,3.0969188456632653,31.847138073979593,15.703248932795686,5.190417909130428,60.96739729147758,2.2103961134269854,0.33731265943877553,14,4,32,27.343994140625,36.06581115722656,143.0,0.0,0.05151534278411418,0.030882930769259742,0.11260011047124863,175.04424858093262,192.01701641082764,10.255317546941773,9.3350932692558,0,0,0,0.08169660013653944,0.12587731538730054,0.9999999987499999,0.0,0.012249243458187108,1.4118052682531217,26244,0.03124999990234375,0.0,0.09374999970703125,0.09374999970703125,0.0,0.0,0.0,0.0,0.0624999998046875,0.0,0.0,0.0,0.09374999970703125,0.03124999990234375,0.0,0.0,0.0,0.09374999970703125,0.0,0.0,0.0,0.0624999998046875,0.0,0.0624999998046875,0.0,0.0624999998046875,0.0,0.0,0.0,0.0,0.0,0.03124999990234375,0.0,0.0,0.03124999990234375,0.0624999998046875,0.0,0.0,0.03124999990234375,0.0,0.0,0.03124999990234375,0.0,0.0,0.03124999990234375,0.0,0.0,0.09374999970703125,0.0,0.0,3.944546367389673,103.05759085635329,122.4907870149603,0.0024247031449962297,0.002421051523742871,-0.00022599113566258776,-0.7813586888004622,0,0,0,1,D:/web-projects/bone_fracture_densenet/data/archive/bone fracture detection.v4-v4.yolov8/train/images\image1_3756_png.rf.1a8d349b7ee3a5c16e44b2de9c31428b.jpg
36,45.583333333333336,67.62575733812935,223.0,6.506756218112245,2.0453236431057635,0.3144835575763285,2.2478775594092464,104.85612614118962,2.171606850199631,0.7256587479420871,0.14055464657790254,0.8843792533820272,2.4816917751911864,6.499096057453788,6.999542220065667,6.99957158083256,6.99999999999998,-6.9999998003931845,6.999999999999961,0.02951610331632653,7.526606345663265,43.1582531511825,19.984369393012386,65.96286613631726,956.0753108411492,426.03548017316746,4.913763552295919,43.63628029336735,21.497269027502618,1.452974719014968,18.758481107603306,2.7010535016792723,0.6105309311224489,23,21,18,22.10980987548828,39.47705841064453,196.0,0.0,0.06846247929044896,0.04102297579924334,0.1251833587884903,184.6899462805854,164.36843111779956,40.227296391858886,46.915823079003985,0,0,0,0.09249311631143876,0.13864631693301563,0.9999999987499999,0.0,0.021974005938908334,1.4883305403695786,26244,0.0,0.05555555524691358,0.0,0.05555555524691358,0.05555555524691358,0.05555555524691358,0.0,0.0,0.0,0.0,0.05555555524691358,0.0,0.05555555524691358,0.05555555524691358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111111049382716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111111049382716,0.11111111049382716,0.05555555524691358,0.05555555524691358,0.11111111049382716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555524691358,0.0,0.0,0.0,0.0,0.0,3.7254785245442266,111.22586131772911,111.51741406918676,0.0014246593940842069,0.0018736778437770266,-6.178406196748064e-05,-1.4365220719360343,0,0,0,0,D:/web-projects/bone_fracture_densenet/data/archive/bone fracture detection.v4-v4.yolov8/train/images\image1_379_png.rf.7318bd666486e1f33efbf31460ed5b75.jpg
291,37.92096219931271,36.10300185187908,151.0,6.249282525510204,2.3865938408641645,0.26585274664071024,2.5315454027365134,111.42987721128114,3.2855146321638435,0.6020802781076457,0.3531735555206943,0.9457919944575216,2.438675189611932,5.435381254442527,6.999470739236959,6.998405587752116,6.999999999999664,6.999997505650828,-6.9999999999999565,0.05492665816326531,14.006297831632653,58.09844720918046,29.144263548192047,69.80781499865603,626.860431037085,481.9545137706472,7.167171556122449,28.590561224489797,32.03969260620056,1.450496428583039,5.588626450174044,3.058815598132889,0.3103874362244898,12,42,91,24.50652503967285,38.05507278442383,206.0,0.0,0.0396085991984704,0.018156892658460634,0.07799394428730011,137.1334485902891,135.85367248870514,41.84284576721143,60.61919608956102,0,0,0,0.08193513732441267,0.1221870512059428,0.9999999987499999,0.0,0.018521024601269746,1.3734054989266247,26244,0.010989010976935153,0.010989010976935153,0.010989010976935153,0.010989010976935153,0.03296703293080546,0.03296703293080546,0.09890109879241638,0.0,0.021978021953870306,0.010989010976935153,0.03296703293080546,0.0,0.03296703293080546,0.03296703293080546,0.010989010976935153,0.0,0.05494505488467577,0.03296703293080546,0.0,0.0,0.010989010976935153,0.010989010976935153,0.021978021953870306,0.010989010976935153,0.021978021953870306,0.010989010976935153,0.03296703293080546,0.0,0.021978021953870306,0.03296703293080546,0.010989010976935153,0.010989010976935153,0.021978021953870306,0.010989010976935153,0.05494505488467577,0.010989010976935153,0.0,0.021978021953870306,0.010989010976935153,0.0,0.05494505488467577,0.010989010976935153,0.05494505488467577,0.021978021953870306,0.03296703293080546,0.010989010976935153,0.0,0.010989010976935153,0.021978021953870306,0.010989010976935153,5.0378780131917695,123.12224933080526,121.48009424492527,0.00105458453050221,0.0025871885823226244,-0.0005524321171191827,-1.258486421155518,0,0,0,1,D:/web-projects/bone_fracture_densenet/data/archive/bone fracture detection.v4-v4.yolov8/train/images\image1_504_png.rf.f9289b9e661db83fee209ec22f070cf4.jpg
114,29.07894736842105,29.818793301870652,114.0,6.230030293367347,2.451575782886463,0.25739420358856313,2.585900509547364,54.15465541987932,2.551158888317749,0.6112081036527357,0.2236695374825283,0.9717572506941374,2.442444484867046,5.885836603544,6.982999573703067,6.996212319123474,-6.99999999999856,-6.999996542540643,-6.999999999993033,0.03814572704081633,9.727160395408163,48.84473616953095,21.94421329861833,48.02433701723052,579.0371317972622,183.01186901189445,5.098612882653061,25.641362404336736,30.920776413150897,1.1778764129731756,3.206836659842926,2.761404099685441,0.23588966836734693,55,37,53,22.716096878051758,39.139976501464844,218.0,0.0,0.028506832285169162,0.015317611371576972,0.060665301978588104,149.03067808331184,95.49771828921337,49.5588961576141,57.4960625587051,0,0,0,0.09804009159230144,0.13307392995895342,0.9999999987499999,0.0,0.0368056230673551,1.5641328159103707,26244,0.0,0.056603773478106086,0.0,0.0,0.01886792449270203,0.056603773478106086,0.03773584898540406,0.01886792449270203,0.0,0.01886792449270203,0.0,0.0,0.03773584898540406,0.0,0.056603773478106086,0.0,0.01886792449270203,0.0,0.0,0.0,0.0,0.01886792449270203,0.01886792449270203,0.0,0.0,0.01886792449270203,0.01886792449270203,0.09433962246351014,0.0,0.056603773478106086,0.0,0.01886792449270203,0.11320754695621217,0.056603773478106086,0.01886792449270203,0.01886792449270203,0.03773584898540406,0.0,0.0,0.01886792449270203,0.03773584898540406,0.01886792449270203,0.03773584898540406,0.0,0.0,0.01886792449270203,0.0,0.01886792449270203,0.01886792449270203,0.01886792449270203,4.578975642393369,121.22012838678637,109.54893240301233,0.0023310914383408822,0.0012792101795920088,-0.00015346388490187316,-0.1419535944344783,0,0,0,0,D:/web-projects/bone_fracture_densenet/data/archive/bone fracture detection.v4-v4.yolov8/train/images\image1_486_png.rf.1f8e2d7d2d94bd7a0af3bc31b984c30a.jpg
